HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4104.19.50.80","6","Other","[""kg""]","","","","",""
"","1","In the dry state (crust):","","","","","",""
"4104.41","2","Full grains, unsplit; grain splits:","","","","","",""
"","3","Whole bovine leather, of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4104.41.10","4","Upper leather; lining leather","","Free","","15%","",""
"4104.41.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.41.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.41.20.00","4","Other","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","3","Other:","","","","","",""
"4104.41.30","4","Buffalo","","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.41.30.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.41.30.60","5","Other","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4104.41.40","5","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.41.40.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.41.40.60","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4104.41.50.00","5","Other","[""m<sup>2<\/sup>""]","3.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.49","2","Other:","","","","","",""
"","3","Whole bovine leather, of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4104.49.10","4","Upper leather; lining leather","","Free","","15%","",""
"4104.49.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.49.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.49.20.00","4","Other","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","3","Other:","","","","","",""
"4104.49.30","4","Buffalo","","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
